Principle,Statement
4.1.1,"LMEC skin-in-the-game, revised upwards in November 2015 following increase in regulatory capital requirement. Consistent between Dec 2015 & Mar 2016"
4.1.4,Total value of LMEC pre-funded default resources
4.1.5,No haircut applied to pre-funded default resources (USD Cash)
4.1.7,LMEC skin-in-the-game. Replenished following participant default
4.1.8,"Interpreted as identical to 4.3.3 (minus CCP skin-in-the-game), whereby all pre-funded default resources excluding IM and retained VM are secured cash at commercial banks"
4.1.9,"Replenishment equal to the value reported in 4.1.8, minus the defaulting contribution(s)"
4.1.10,Equal to 2 CCP skin-in-the-game contributions (initial with a further replenishment)
4.2.1,"Hypothetical capital (KCCP) [Art. 50c(1)(a), Regulation (EU) 648/2012], as of 31 Mar 16"
4.3.3,"Outright purchase + reverse repo. Repo pre and post haircuts consistent with 6.2, whereby the held post-haircut value will be greater than the amount received by the CCP, whilst conversely non-cash pre and post haircut values will be less. Weighted DF haircut = 3.333%"
4.3.15,Equal to 4.3.3
4.4.1,Cover 2
4.4.3,"Interpreted as Cover 1 Stress Testing results over 12 months from 01 April 15 (252 observations), including Collateral stresses"
4.4.6,Interpreted as Backtesting results (clean P&L over IM) over 12 months from 01 Apr 15  to 31 March 16 (252 observations). No breaches since Sept 14 launch
